reference_type,author,year,title,keyword,abstract
journal_article,"Okolo, C. M. ",1992,"THE EFFECTS OF COMPUTER-BASED ATTRIBUTION RETRAINING ON THE ATTRIBUTIONS, PERSISTENCE, AND MATHEMATICS COMPUTATION OF STUDENTS WITH LEARNING-DISABILITIES",disabled children.//academic-performance.//causal attributions.//college-freshmen.//achievement.//helplessness.//failure.//success.//style.//adolescents.//Education & Educational Research.//Rehabilitation,"The purpose of the present study was to examine the impact of attribution retraining, embedded within a mathematics computer-assisted instructional program, on students' attributions, persistence, and mathematics computation. Twenty-nine school-identified students with learning disabilities from five urban schools participated in the study. The sample's mean age was 13.3 years. After blocking on initial attributional patterns, students were randomly assigned to a mathematics computer-assisted instruction program that provided either attribution retraining or neutral feedback. Students used their assigned program for eight 30-minute sessions. Results did not support the contention that attribution retraining would have a significant impact an students' attributions. However, students who participated in the attribution retraining condition completed significantly more levels of the program than their counterparts who received neutral feedback. Attribution retraining students also obtained significantly higher scores on a test of problems practiced during the computer-assisted instruction program. These results suggest that attribution retraining may be a desirable addition to the type of feedback typically provided by computer-assisted instruction programs. However they also highlight the need for further research that examines the conditions under which specific attributions are most advantageous"
journal_article,"Podell, D. M., Tournaki-Rein, N., & Lin, A. ",1992,Automatization of mathematics skills via computer-assisted instruction among students with mild mental handicaps,computer assisted instruction.//automatization of basic addition & subtraction skills.//nonhandicapped vs mildly mentally retarded 2nd–4th graders.//Mathematics Achievement.//Intellectual Development Disorder.//Elementary School Students,"Compared the effects of computer-assisted instruction and a more traditional paper-and-pencil approach in promoting automatization of basic skills in addition and subtraction. 52 students participated in the addition task: 24 nonhandicapped Ss (mean age 7.8 yrs) and 28 Ss with mild mental handicaps ([mean age 8.6 yrs]). 42 students participated in the subtraction task: 20 nonhandicapped Ss (mean age 7.9 yrs) and 22 Ss with MMHs (mean age 8.8 yrs). The accuracy and response time of the nonhandicapped and mild mental handicaps Ss were compared, using a trials-to-criterion approach. In response time, but not in accuracy, Ss in the computer-assisted instruction condition needed fewer trials than those in the paper-and-pencil condition to reach criterion in both tasks. In the addition task, this difference was present only for the nonhandicapped Ss. Mild mental handicaps Ss needed more trials to reach criterion in the computer-assisted instruction condition in the addition study, and in both media in the subtraction study. "
journal_article,"Talbot, F., Pépin, M., & Loranger, M.",1992,Computerized cognitive training with learning disabled students : a pilot study,"Adolescent.//Biological and medical sciences.//Child.//Cognition.//Computer-Assisted Instruction - trends.//Education, Special - trends.//Female.//Humans.//Learning Disorders - rehabilitation.//Male.//Medical sciences.//Pilot Projects.//Psychology. Psychoanalysis. Psychiatry.//Psychopathology. Psychiatry.//Reeducation. Readaptation. Sociotherapy.//Treatments","The effects of practicing computerized exercises in class by 59 learning disabled students who received an 8-hr. training program, 30 min. per week, were evaluated. Six exercises designed to facilitate basic cognitive skills development were used. Twelve subjects were assigned to a control group without any form of intervention. Covariance analysis (pretest scores used as covariates) showed a significant effect of training on mental arithmetic. These results suggest that practicing a computerized exercise of mental arithmetic can facilitate the automatization of basic arithmetic skills (addition, subtraction, and multiplication). The nature, progress, and evaluation of such types of intervention are discussed."
journal_article,"Woodward, J., & Gersten, R.",1992,Innovative technology for secondary students with learning disabilities,"Microcomputers*.//Education, Special/*trends.//Learning Disabilities/*rehabilitation.//Videodisc Recording/*instrumentation.//Adolescent.//Child.//Curriculum.//Female.//Humans.//Male.//Mathematics","During the 1980s, innovative use of technology was equated with microcomputer instruction. In the 1990s, a different kind of technology--videodisc instruction--has great potential for application in secondary special education. By examining its day-to-day use in naturalistic settings, this study builds on previous research with a specific videodisc program in fractions. Participants were seven secondary teachers of students with learning disabilities. Researchers measured the program's level of implementation, teacher reactions, and student achievement. Results were generally positive in all areas, with a surprisingly high acceptance of the program by the seven teachers."
journal_article,"Burns, E., & Schmittau, J.",1993,Single Switch Mathematics Software Individualization for Students with Severe Motor/Speech Disabilities,Addition.//Communication Disorders.//Computation.//Computer Software.//Computer Uses in Education.//Elementary Education.//Exceptional Persons.//Mathematics Achievement.//Mathematics Education.//Mathematics Instruction.//Physical Disabilities.//Speech Impairments.//BASIC Programing Language,"Describes a form of adaptive communication, referred to as single switch technology, as a method for assessing and developing mathematics skills of speech and motor disabled students. Provides a BASIC program to illustrate a basic single switch mathematics program. "
thesis,"Devers, R. J. ",1993,Multiple choice vs delayed prompting in CAI for math facts: A comparison across disability groups,multiple choice vs delayed prompting & computer assisted instruction of math facts.//nondisabled vs learning disabled vs educable mentally retarded students.//Computer Assisted Instruction.//Learning Disabilities.//Mathematics Education.//Intellectual Development Disorder.//Delayed Feedback.//Elementary School Students.//Multiple Choice (Testing Method),"This study compared the effects of two presentation formats during computer-assisted instruction for math facts with handicapped and non-handicapped students. Data were collected for 16 regular education, 15 learning disabled, and 10 educable mentally impaired students. Each student completed approximately eleven 7-minute training sessions on two computer-assisted instruction formats. The computer-assisted instruction programs were identical except that one presented items in a multiple-choice format and the other employed a 5 second delayed-prompting format. Results indicated that for all students, fewer incorrect responses occurred with delayed-prompting computer-assisted instruction than with a multiple-choice format. Additionally, the acquisition of math facts was more efficient with delayed-prompting computer-assisted instruction for the educable mentally impaired students. None of the dependent measures, for any group of students, favored the use of a multiple-choice format. Implications for the use of delayed prompting in computer-assisted instruction are discussed."
journal_article,"Hollingsworth, M., & Woodward, J. ",1993,INTEGRATED LEARNING - EXPLICIT STRATEGIES AND THEIR ROLE IN PROBLEM-SOLVING INSTRUCTION FOR STUDENTS WITH LEARNING-DISABILITIES,education.//knowledge.//microcomputers.//performance.//mathematics.//Education & Educational Research.//Rehabilitation,"This study investigated the effectiveness of an explicit strategy as a means of linking facts, concepts, and problem solving in an unfamiliar domain of learning. Participants were 37 secondary students with learning disabilities. All students were taught health facts and concepts, which they then applied to problem-solving exercises presented through computer-simulation games. Students in the experimental group were taught an explicit strategy for solving the problems; the comparison group was given supportive feedback and encouraged to induce their own strategies. The explicit strategy group performed significantly better on two transfer measures, including videotaped problem-solving exercises."
journal_article,"Koscinski, S. T., & Gast, D. L. ",1993,Computer-assisted instruction with constant time delay to teach multiplication facts to students with learning disabilities,effectiveness of computer assisted multiplication instruction with constant time delay procedure.//male elementary school students with learning disabilities & attention deficit disorder.//Computer Assisted Instruction.//Learning Disabilities.//Mathematics (Concepts).//Mathematics Education.//Attention Deficit Disorder.//Elementary School Students.//Special Education Students,"Investigated the effectiveness of a computer software program using the constant time delay procedure to teach multiplication facts. Six male elementary school students (aged 9–20 yrs) with learning disabilities, (3 of whom also had been diagnosed as having attention deficit disorders), were taught 15 unknown facts using an auto-instructional program based on a 5-sec constant time delay procedure. Data were collected on generalization to a vertical display format, which required a written response, the reverse fact, and a flashcard presentation to which students made a verbal response. The computer-assisted instructional program was effective in teaching multiplication facts to students with learning disabilities or mild intellectual handicaps. Learning generalized with varying degrees of success for the different students. "
journal_article,"Moore, P. R., Rieth, H., & Ebeling, M.",1993,Considerations in Teaching Higher Order Thinking Skills to Students with Mild Disabilities,Abstract Reasoning.//Curriculum.//Educational Principles.//Elementary Secondary Education.//Mathematics Instruction.//Mild Disabilities.//Reading Instruction.//Teaching Methods.//Thinking Skills.//Writing Instruction,"This paper reviews special considerations in teaching higher order thinking skills to students with mild disabilities, focusing on curriculum implications; principles of instruction (prior knowledge, connections between new and existing knowledge, self-regulated learning, and impact of social setting); the use of an anchored instructional approach; and higher order thinking in reading, writing, and mathematics. "
journal_article,"Woodward, J., & Carnine, D.",1993,Uses of Technology for Mathematics Assessment and Instruction: Reflection on a Decade of Innovations,Cognitive Processes.//Computer Assisted Instruction.//Computer Assisted Testing.//Concept Formation.//Disabilities.//Educational Innovation.//Educational Technology.//Federal Aid.//Mathematics Instruction.//Mathematics Tests.//Models.//Research and Development.//Research Projects.//Student Evaluation.//Trend Analysis.//Automaticity,"Research and development activities of the last decade in the areas of assessment and effective instructional programs in mathematics for students with disabilities are reviewed. Encouraged by federal funding, a pervasive theme has been the use of an information processing framework. Automaticity, conceptual development, and cognitive modeling have been key areas of research. "
journal_article,"Gerber, M. M., Semmel, D. S., & Semmel, M. I. ",1994,Computer-Based Dynamic Assessment of Multidigit Multiplication,Computation.//Computer Assisted Testing.//Computer Software.//Curriculum Based Assessment.//Diagnostic Teaching.//Disabilities.//Elementary Secondary Education.//Mathematics Tests.//Multiplication.//Student Evaluation.//DynaMath,"Design details, operation, and initial field test results are reported for DynaMath, a computer-based dynamic assessment system that provides individually tailored, instructionally useful assessment of students with disabilities. DynaMath organizes and outputs student performance data, graphically shows the ""zone of proximal development,"" and provides a qualitative record of student performance. "
journal_article,"Jaspers, M. W. M., & Van Lieshout, E. C. D. M. ",1994,A CAI program for instructing text analysis and modelling of word problems to educable mentally retarded children,Computer assisted instruction in mathematics.//Word problems (Mathematics).//Computer assisted instruction.//Education of people with mental disabilities.//Mathematics education.//Teaching methods,"Educable mentally retarded children prove to be poor mathematic word-problem solvers. This study is aimed at improving the poor word-problem solving ability of these children. In doing so, a computerised training programme was developed in which instruction focused on the construction of adequate problem representations. This was accomplished by both instructing the children to analyse the problem text thoroughly and by having them represent the problem situation described. The efficacy of this training procedure was demonstrated in a multiple-baseline design across five subjects after some data were removed (p < 0.05). It was assumed that the complexity of the training procedure and shortcomings in the feedback mechanism used obscured the overview of the problem-solving strategy. Suggestions are offered concerning the revision of this training procedure.  "
journal_article,"Jaspers, M. W., & van Lieshout, E. C.",1994,Diagnosing wrong answers of children with learning disorders solving arithmetic word problems,,"Examined whether knowledge deficits and specific errors of children could aid in developing an achievement-oriented diagnosis for word-problem solving. The knowledge emanating from these error analyses could then be used in designing intelligent tutorial systems, in which the remediation path taken fits in with the specific error and knowledge deficit of a particular child. 66 children attending a Dutch school for educable mentally retarded children (Grades 4–7) were administered pretests for reading and arithmetic ability. Results of error analyses showed that the children in the various grade levels differed in the distribution of the types of errors made per problem type. Results allow judgments of the yield of a product-oriented approach in view of the possibility of developing an achievement-oriented diagnostic procedure for word-problem solving, which in turn may be used to develop intelligent tutorial systems."
journal_article,"Jaspers, M. W., & Van Lieshout, E. C. ",1994,THE EVALUATION OF TWO COMPUTERISED INSTRUCTION PROGRAMS FOR ARITHMETIC WORD-PROBLEM SOLVING BY EDUCABLE MENTALLY RETARDED CHILDREN,Education of children with mental disabilities.//Computer assisted instruction.//Educational technology.//Children with mental disabilities.//Assistive technology.//Problem solving.//Arithmetic.//Mathematics.//Telematics,"To investigate the impact of instruction aimed at improving text-analysis strategies for arithmetic word problems compared to instruction aimed at improving modelling the specific semantic structure of the word problem with Concrete material, eighty-four educable mentally retarded children (aged 8.6-16.8) received computer-assisted instruction in a 2 (Text-Analysis) × 2 (External-Modelling) pretest-posttest control group design. The results showed that in test situations with modelling facilities the children who received External-Modelling instruction outperformed the other children, whereas on a test without those facilities the children who received Text-Analysis instruction performed better than the other children. It is argued that children who received Text-Analysis training learned to construct problem representations mentally, which they may also use in the paper-and-pencil Situations, whereas children who received External-Modelling training were handicapped in these situations because they were still dependent on the presence of materials with which they could construct a representation of the problem externally. "
journal_article,"Lin, A., Podell, D. M., & Tournaki-Rein, N.",1994,CAI and the development of automaticity in mathematics skills in students with and without mild mental handicaps,Arithmetic.//Computer assisted instruction in mathematics.//Computer assisted instruction.//Education of people with mental disabilities.//Study & teaching of addition.//Study & teaching of subtraction,"A study examined the effect of the critical features of computer assisted instruction on the indices of automization in the mathematics skills of students with and without mild mental handicaps. Subjects for the addition intervention were 71 students—41 nonhandicapped students and 30 with mild mental handicaps; subjects for the subtraction intervention were 69 students—41 nonhandicapped students and 28 with mild mental handicaps. In the addition intervention, no significant difference between the computer assisted instruction and paper-and-pencil conditions was found, but a difference was found to exist between the computer assisted instruction and paper-and-pencil conditions in the subtraction intervention. Results indicate that computer assisted instruction is effective in developing automaticity in subtraction and that extended practice is effective for promoting automatization in mathematics among slower students in both groups."
journal_article,"Shiah, R. L., Mastropieri, M. A., Scruggs, T. E., & Mushinski Fulk, B. J.",1994,The Effects of Computer-assisted Instruction on the Mathematical Problem Solving of Students with Learning Disabilities,Arithmetic.//Computer Assisted Instruction.//Computer Assisted Testing.//Elementary Education.//Instructional Effectiveness.//Learning Disabilities.//Learning Strategies.//Mathematics Instruction.//Pictorial Stimuli.//Problem Solving.//Test Format.//Word Problems (Mathematics),"This study, involving 30 elementary students with learning disabilities, found that students performed significantly better on mathematics tests given using a computer than by paper and pencil. It found no differences among variations of computer-assisted instruction, with either static or animated pictures and either utilizing or not utilizing a seven-step cognitive strategy for solving arithmetic word problems. "
journal_article,"Woodward, J., & Howard, L.",1994,The misconceptions of youth: errors and their mathematical meaning,Computers in testing.//Computer assisted instruction.//Diagnostic teaching.//Education of learning disabled persons.//Common misconceptions.//Diagnosis.//Mathematics.//Educational tests & measurements -- United States.//United States. Dept. of Education,"This article discusses an innovative, technology-based program (TORUS), developed as a prototype of an advanced diagnostic system for education. TORUS has also been useful as a unique tool for examining and remedying the mathematics misconceptions of students with learning disabilities. In addition to describing research conducted with TORUS, the authors suggest that the prevalence of misconceptions in students with learning disabilities argues for a serious reconsideration of the way mathematics is taught to these students—that much more emphasis should be placed on conceptual understanding, particularly in light of the widespread use of technology for solving routine computational tasks.  "
journal_article,TEACHING Exceptional Children,1995,Instructional design of computer-assisted instruction for use with students who have mild disabilities,Computers in education.//Special education.//Computer software selection.//Computer assisted instruction.//Teaching.//Methodology,"An overview of research on computer-assisted instructional activities examines effective educational practices in the instruction of students with mild disabilities. It is concluded that short lists lead to faster memory, that simulation improves review and practice, that elaborated feedback improves generalization and transfer of knowledge, that direct instruction is needed for tasks that combine verbal and mathematical reasoning, and that the videodisc is highly effective in teaching fractions."
journal_article,"Woodward, J. ",1995,Technology-Based Research in Mathematics for Special Education,Algorithms.//Computer Uses in Education.//Courseware.//Educational Research.//Elementary Secondary Education.//Mathematics History.//Mathematics Instruction.//Special Education.//Technology,Presents a historical review of technology-based computer program development and research in mathematics for special education. Discusses two themes: the consistent focus on mastering computational algorithms and the use of technology both as a teaching tool and as a means of guiding teacher behavior.
journal_article,"Babbitt, B. C., & Miller, S. P. ",1996,Using hypermedia to improve the mathematics problem-solving skills of students with learning disabilities,"Computer-Assisted Instruction*.//Education, Special*.//Mathematics*.//Problem Solving*.//Learning Disabilities/*therapy.//Child.//Humans.//Software","This article discusses current knowledge about teaching problem solving to students with learning disabilities, using computers for teaching math to students with learning disabilities, and using computers for teaching problem solving to students with learning problems. Building upon identified effective learning strategies, direct instruction procedures, and principles of effective instructional design, the case is presented for the use of hypermedia in helping students with learning disabilities to improve their mathematics problem-solving abilities. Specific ideas and suggestions for applying hypermedia to cognitive strategy instruction and the graduated word problem sequence are given. Several cautions regarding hypermedia use are presented."
journal_article,"Bierman, M. M.",1996,Celebrating Math--Olympic Style!,Disabilities.//Educational Games.//Intermediate Grades.//Junior High Schools.//Learning Activities.//Mathematics Instruction,"Forty-six intermediate and junior high students with disabilities (learning, emotional disturbance, mental retardation) participated in a noncompetitive Math Olympics. Teams of students participated in game-like activities involving basic skills, calculators, problem solving, and place value. Guidelines for planning a Math Olympics focus on materials, scheduling, obtaining sponsorship, and supervision. "
journal_article,"Cahill, H., Linehan, C., McCarthy, J., Bormans, G., & Engelen, J. ",1996,Blind and Partially Sighted Students' Access to Mathematics and Computer Technology in Ireland and Belgium,Access to Education.//Accessibility (for Disabled).//Blindness.//Cognitive Ability.//Computer Assisted Instruction.//Educational Technology.//Enrollment Influences.//Foreign Countries.//Input Output Devices.//Mathematics Education.//Secondary Education.//Student Needs.//Student Participation.//Visual Impairments.//Belgium.//Ireland,"A survey of 42 Irish and Belgian blind and partially sighted students (ages 12 to 18) and interviews with 6 Irish and Belgian mathematics teachers found that few of the students took higher-level mathematics examinations, due primarily to mathematical-access difficulties. A computer-based system providing both menu and command (keyboard and voice) input was supported. "
journal_article,"Fitzgerald, G. E.",1996,Technology-assisted instruction for students with learning disabilities,Computer assisted instruction.//Education of learning disabled persons.//Educational technology.//Special education.//Teaching aids,"Part of a special issue on technology-assisted instruction for students with learning disabilities. Articles in this special issue provide a rich set of innovative instructional applications of technology. The articles all aim to support students with disabilities in more inclusive settings. They range from pilot studies to controlled experimental studies and employ a combination of qualitative and quantitative measures. Students in the studies are in grades 3–8 and have learning disabilities or behavioral disorders. Content areas include mathematics, social studies, science, and written expression, and word processing, project-based learning with multimedia construction tools, vocabulary development utilizing integrated media, and mathematical problem solving in contextualized learning environments are the technology-based instructional approaches employed. Collectively, although the articles provide guidance for effective utilization of technology in inclusive settings, they raise new questions that deserve continued research."
journal_article,"Fitzgerald, G. E., & Koury, K. A.",1996,Empirical advances in technology-assisted instruction for students with mild and moderate disabilities,Computers in education.//Special education.//Academic achievement.//Education of people with disabilities.//Computer assisted instruction,"In this literature review, the effects of technology-assisted instruction on the learning of students with mild and moderate disabilities are synthesized for the 1988–1995 period. Empirically based findings are reviewed and discussed in the basic skill areas of reading, written expression, whole language, and mathematics, as well as in the content areas of social studies and science. Results are interpreted and recommendations are provided regarding the design of software for students with disabilities, effective instructional practices, curricular integration, and uses of newer technologies. Future directions for research and challenges facing teachers of students with disabilities are identified.  "
journal_article,"Grossen, B., & Carnine, D.",1996,Considerate instruction helps students with disabilities achieve world class standards,Curriculum planning.//Special education.//Methodology.//Cognition disorders.//Students.//Mathematics education,"The writers discuss how considerate instruction can promote the educational achievement of students with disabilities. Effective teaching practices are combined with valid teaching tools—textbooks, media, and technology—within considerate instruction. Effective teaching includes the following: providing daily reviews, presenting new material in small steps, maintaining active participation, providing guided practice, giving corrective feedback, allowing for independent practice, and providing weekly and monthly cumulative review. The writers further detail how considerate teaching was used with students with disabilities to teach the topics of mathematics problem solving, science problem solving, reasoning, and history."
journal_article,"Lees, D., & Lepage, P.",1996,Robots in education: the current state of the art,Study & teaching of robotics.//Robots.//Educational innovations,"This article describes how robots are currently being used in education. First, the limitations of robotics technology are discussed and the current research aimed at addressing these limitations is described. Next, we explore three ways that robots are being used in the classroom. They can be used to teach basic concepts (especially in math and physics), or to assist disabled students with manipulation during classroom activities, and finally, as objects of study. In the last section, we explore the effectiveness of this technology. Since robots have been more difficult to develop than people had expected, they are still not readily available today. However, some robotics technology does exist and is currently being used by educators. This article discusses the current uses of robots and examines the future potential of this technology."
journal_article,"Wilson, R., Majsterek, D., & Simmons, D. ",1996,The effects of computer-assisted versus teacher-directed instruction on the multiplication performance of elementary students with learning disabilities,"Computer-Assisted Instruction*.//Education, Special*.//Mathematics*.//Learning Disabilities/*therapy.//Achievement.//Child.//Female.//Humans.//Male.//Mental Recall.//Software","The acquisition of multiplication facts by 4 elementary students with learning disabilities was compared under two instructional delivery formats-teacher directed and computer assisted. The two interventions were compared in terms of opportunities to respond and success rate. All students mastered more facts in the teacher-directed condition. In addition, teachers provided many more opportunities to respond and showed a higher success rate than did the software program. Implications of teacher-directed and computer-assisted instruction are discussed in terms of efficacy and feasibility."
journal_article,"Goldman, S. R., & Hasselbring, T. S.",1997,Achieving meaningful mathematics literacy for students with learning disabilities. Cognition and Technology Group at Vanderbilt,"Achievement*.//Education, Special*.//Educational Status*.//Mathematics*.//Learning Disabilities/*therapy.//Adolescent.//Child.//Concept Formation.//Curriculum.//Humans.//Learning Disabilities/diagnosis.//Problem Solving","In this article we consider issues relevant to the future of mathematics instruction and achievement for students with learning disabilities. The starting point for envisioning the future is the changing standards for mathematics learning and basic mathematical literacy. We argue that the shift from behaviorist learning theories to constructivist and social constructivist theories (see Rivera, this series) provides an opportunity to develop and implement a hybrid model of mathematics instruction. The hybrid model we propose embeds, or situates, important skill learning in meaningful contexts. We discuss some examples of instructional approaches to complex mathematical problem solving that make use of meaningful contexts. Evaluation data on these approaches have yielded positive and encouraging results for students with learning disabilities as well as general education students. Finally, we discuss various ways in which technology is important for realizing hybrid instructional models in mathematics."
journal_article,"Hughes, C. A., & Maccini, P. ",1997,Computer-Assisted Mathematics Instruction for Students with Learning Disabilities: A Research Review,Computer Assisted Instruction.//Drills (Practice).//Educational Games.//Educational Technology.//Elementary Secondary Education.//Instructional Effectiveness.//Learning Disabilities.//Mathematics Instruction.//Simulation.//Tutorial Programs,"A review of 21 research studies on computer-assisted instruction in mathematics with students having learning disabilities found that drill and practice formats have predominated over game, tutorial, or simulation formats. Overall, computer-assisted instruction was found to be an effective medium for mathematics instruction. Suggestions for further research and for using computer-assisted instruction with students having learning disabilities are offered. "
journal_article,"Jitendra, A., & Xin, Y. P.",1997,Mathematical Word-Problem-Solving Instruction for Students with Mild Disabilities and Students At Risk for Math Failure: A Research Synthesis,Cognitive Processes.//Computer Assisted Instruction.//Diagrams.//Elementary Secondary Education.//High Risk Students.//Instructional Effectiveness.//Intervention.//Learning Strategies.//Mathematics Instruction.//Metacognition.//Mild Disabilities.//Problem Solving.//Sequential Learning.//Teaching Methods.//Word Problems (Mathematics),"Summarizes 14 mathematics word-problem-solving intervention studies for elementary and secondary students with disabilities or who were at-risk for math failure. Interventions included representational techniques (diagramming), strategy-training procedures (cognitive and metacognitive), task variations (sequencing and word-problem context), and computer-assisted instruction. With one exception, all studies reported positive effects of intervention. "
journal_article,"Falba, C. J., & Williams, D. L. ",1998,Exploring mathematics with interactive computer multimedia,COMPUTER software.//GEOMETRY,"Describes the compact disc-read only memory (CD-ROM) `Mirror Symmetry,' an example from the geometry series. Overview of the software; Internet resources; Access for students with disabilities."
journal_article,"Kapperman, G., & Sticken, J. ",1998,The Braillewriter as a calculation tool,Printing for blind people.//Education of blind people.//Mathematics education.//Special education.//Calculators.//Education of people with visual disabilities.//Braille,"The braillewriter as an effective calculation tool for fostering young blind students' basic understanding of the stages involved in the addition, subtraction, multiplication, and division of whole numbers, decimals, and fractions is discussed."
journal_article,"Lewis, R. B., & Lewis, R. B. ",1998,Assistive technology and learning disabilities: today's realities and tomorrow's promises,Learning Disabilities/*rehabilitation.//self-Help Devices/*trends.//Technology/*trends.//Computer-Assisted Instruction/trends.//Humans.//User-Computer Interface,"Many forms of technology, both ""high"" and ""low,"" can help individuals with learning disabilities capitalize on their strengths and bypass, or compensate for, their disabilities. This article surveys the current status of assistive technology for this population and reflects on future promises and potential problems. In addition, a model is presented for conceptualizing assistive technology in terms of the types of barriers it helps persons with disabilities to surmount. Several current technologies are described and the research supporting their effectiveness reviewed: word processing, computer-based instruction in reading and other academic areas, interactive videodisc interventions for math, and technologies for daily life. In conclusion, three themes related to the future success of assistive technology applications are discussed: equity of access to technology; ease of technology, use; and emergent technologies, such as virtual reality."
journal_article,"Ninness, H. C., Ninness, S. K., Sherman, S., & Schotta, C.",1998,Augmenting computer-interactive self-assessment with and without feedback,Reinforcement (Psychology).//self-evaluation.//Human-computer interaction.//Psychological feedback.//Education.//Education of students with disabilities.//Computer assisted instruction,"Following a preexperimental assessment of computer-interactive math performance during VR 6 reinforcement and extinction, 4 regular education students and 2 students identified as behaviorally disordered participated in an A-BC-D-BC withdrawal of treatment design. Subsequent to baseline observations of math performance during self-assessment with and without accuracy feedback, students were trained in self-assessment procedures by way of a series of computer-interactive tutorials. During treatment, students were provided computer-displayed accuracy feedback plus reinforcement for correct self-assessments of their math performance. Reinforcement and feedback were gradually leaned, and in the final treatment condition, accuracy feedback was terminated; however, monetary reinforcement for correct self-assessment was sustained. Following treatment, students were given opportunities to perform math problems in the absence of reinforcement while self-assessing their performances with and without accuracy feedback. This was succeeded by a withdrawal condition and a final session in which students, again, were given an opportunity to self-assess with and without feedback from the computer. Outcomes suggest that subsequent to training computer-interactive self-assessment with feedback may facilitate high rates and long durations of math performance even in the absence of compensation. Implications regarding the augmental as a type of rule-governed behavior and the necessary and sufficient conditions for sustaining self-assessment as a learned reinforcer are discussed. "
journal_article,"Bottge, B. A., & Hasselbring, T. S. ",1999,Teaching mathematics to adolescents with disabilities in a multimedia environment,VIDEO tapes in education.//MATHEMATICS education.//SPECIAL education,Focuses on a video-based approach to teaching mathematics for adolescents with disabilities. Video anchors; Goal of improving the problem-solving skills of secondary school students; Utilization of technology to access information and to communicate their findings.
journal_article,"Irvine, S.",1999,News from the Net: PlaneMath,Computer network resources.//Mathematics.//Aeronautics.//Infouse (Company),"Fly off and surf at www.planemath.com. Students have the opportunity to make connections between mathematics and aeronautics. InfoUse, a firm that specializes in the development of health, disability, and rehabilitation information using computer technology, produced and maintains this site in cooperation with NASA. The site presents an Internet-based curriculum on mathematics and aeronautics for children with physical disabilities."
journal_article,"Maccini, P., McNaughton, D., & Ruhl, K. L. ",1999,Algebra instruction for students with learning disabilities: Implications from a research review,content & skill emphasis & activities of algebra instruction.//students with learning disabilities.//Learning Disabilities.//Mathematical Ability.//Mathematics Education.//Students.//Teaching Methods,"A review of 6 published studies on algebra interventions for students with learning disabilities reveals that successful interventions included instruction on domain-specific knowledge, as well as general problem-solving and self-regulation strategies. Promising practices include sequential introduction of word problems through concrete, semi-concrete, and abstract phases, and peer feedback. Use of selected computer-assisted programs also may hold promise. These findings are discussed in the context of the requirements of successful algebra performance, developmental problem-solving literature (R. E. Mayer, 1989; A. H. Schoenfeld, 1992), and characteristics of students with learning disabilities. "
journal_article,"Stellingwerf, B. P., & Van Lieshout, E. C.",1999,Manipulatives and number sentences in computer aided arithmetic word problem solving,manipulative vs number sentencing mathematical representation.//computer-aided word problem solving skills.//children with learning problems (mean age 11.3 yrs).//Computer Assisted Instruction.//Learning Disabilities.//Mathematical Ability.//Mathematics (Concepts).//Problem Solving.//Numbers (Numerals).//Word Problem,"Investigated the relative contribution of 2 main components often used in the instruction of arithmetic word problem solving to 100 1st-grade children and children with learning problems (mean age 11.3 yrs), external representation with manipulatives and formal mathematical representation with number sentences. Four computer-aided treatments were developed along these dimensions. Furthermore, an assessment control group was formed. It was shown that performance improved significantly after treatment in comparison to the performance of the assessment control group. Comparison of the different training conditions showed that a number sentence treatment was the most effective training component. However, this effect was only present with the relatively high competent children and not with the relatively low performing children. "
journal_article,"Xin, Y. P., & Jitendra, A. K.",1999,The effects of instruction in solving mathematical word problems for students with learning problems: a meta-analysis,Mathematics.//Problem solving research.//Word problems (Mathematics).//Meta-analysis.//Mathematics education.//Special education.//Education of learning disabled persons.//Learning disabled persons.//Learning disabilities.//Mathematical ability,"This article provides a synthesis of word-problem-solving intervention research with samples of students with learning problems (i.e., mild disabilities and at risk for mathematics failure). The effectiveness of word-problem-solving instruction in 25 outcome studies was examined across student characteristics (e.g., grade, IQ); instructional features (e.g., intervention approach, treatment length); methodological features; skill maintenance; and generalization components. Separate analyses were performed for group-design studies and single-subject studies using standardized mean change and percentage of nonoverlapping data (PND), respectively. The overall mean weighted effect size (d) and PND for word-problem-solving instruction were positive across the group-design studies (ES = +.89) and single-subject studies (PND = 89%). In addition, positive effects for skill maintenance and generalization were found for group design (ES = +.78 and +.84, respectively) and single-subject studies (PND = 100%). Computer-assisted instruction was found to be most effective for group-design studies. Effects for representation techniques and strategy training were found to be significantly higher than the “other” approach for both group-design and single-subject studies. Long-term (> 1 month) intervention effects were significantly higher than short- or intermediate-term interventions for group-design studies, whereas both long-term and intermediate treatments were seen to be more effective than short-term treatments for single-subject studies. Other significant effects found for group-design studies only in terms of student characteristics, instructional features, and methodological features are reported. Finally, implications of the current analysis for future research in the area of word-problem solving are discussed.  "
